study_ID,condition,age,reaction_time,participant_initials,participant_code,trial_number,response,session_label,researcher_code,extra_column
demo2026a,control,3,452.37,AB,P0001,1,yes,session1,AB01,1
demo2026a,experimental,4,621.54,CD,P0002,2,no,session2,CD02,1
demo2026a,familiar,5,387.21,EF,P0003,3,unknown,session3,EF03,1
demo2026a,invalid,4,510,GH,P0004,4,yes,session4,GH04,1
demo2026a,experimental,3,745.82,IJ,P0005,5,maybe,session5,IJ05,1
demo2026a,familiar,5,398.46,KL,P0006,6,yes,session6,KL06,1
demo2026a,control,2,812.19,MN,P0007,7,unknown,session7,MN07,1
demo2026a,experimental,6,563.77,OP,P0008,8,yes,session8,OP08,1
demo2026a,familiar,5,421.35,qr,P0009,9,no,session9,QR09,1
demo2026a,control,4,675.9,ST,P0010,10,yes,session10,ST10,1
demo2026a,experimental,5,334.68,UV,P0011,11,unknown,session11,UV11,1
demo2026a,familiar,3,902.43,WX,P0012,12,no,sess,WX12,1
demo2026a,control,5,478.25,YZ,P0013,yes,13,yes,session13,YZ13
demo2026a,experimental,3,721.1,AC,P0014,14,no,session14,AC14,
demo2026a,familiar,4,356.7,BD,P0015,15,unknown,session15,BD15,
demo2026a,control,5,599.311,CE,P0016,16,yes,session16,CE16,
demo2026a,experimental,4,844.57,D,P0017,17,no,session17,DF17,
demo2026a,familiar,3,467.89,EG,P0018,18,yes,session18,EG18,
demo2026a,control,4,703.44,FH,P123,19,unknown,session19,FH19,
,experimental,5,315.62,GI,P0020,20,no,session20,GI20,
